"gene_name","hsa","hsa_n_circs","mfu","mfu_n_circs","mma","mma_n_circs","mmu","mmu_n_circs","mpi","mpi_n_circs","rsi","rsi_n_circs"
"DHRS3","1:12578717|12579412",1,"scaffold0027:20236532|20238012",1,"",0,"",0,"scaffold0010:72755111|72760656",1,"",0
"KDM1A","1:23030468|23050520",1,"",0,"1:201727466|201756911",1,"",0,"scaffold0010:66211023|66221206",1,"",0
"RNF19B","1:32948221|32949774",1,"scaffold0027:4819976|4821525;scaffold0027:4819976|4829271;scaffold0027:4823678|4829271",3,"",0,"",0,"",0,"NW_017738987.1:2235418|2239267",1
"FGGY","1:59339957|59378837",1,"scaffold0010:7848241|7868002;scaffold0010:7848241|7891383",2,"",0,"",0,"",0,"NW_017739104.1:2461959|2482713",1
"PDCD11","10:103438014|103438808",1,"scaffold0011:44317106|44317801",1,"",0,"",0,"scaffold0014:16635491|16635980",1,"",0
"CUL2","10:35060873|35071339",1,"scaffold0034:2952545|2956224",1,"",0,"",0,"scaffold0004:2117777|2139336",1,"",0
"RSF1","11:77683709|77693611",1,"scaffold0008:29542735|29545599;scaffold0008:29545410|29545599",2,"",0,"",0,"scaffold0017:10188645|10190138;scaffold0017:10188645|10201360;scaffold0017:10240961|10244229;scaffold0017:10248029|10248218",4,"",0
"RAB3IP","12:69800208|69801721",1,"",0,"11:69294399|69295669",1,"",0,"scaffold0001:107430334|107431589",1,"",0
"MAP3K9","14:70742350|70742591",1,"scaffold0026:24542637|24588358",1,"",0,"",0,"scaffold0004:80457494|80496462",1,"",0
"CEP128","14:80497468|80530886",1,"scaffold0026:16731060|16738915;scaffold0026:16731060|16747093;scaffold0026:16731060|16780852;scaffold0026:16735069|16747093;scaffold0026:16735069|16780852;scaffold0026:16774303|16802082;scaffold0026:16780700|16802082;scaffold0026:16833631|16842542;scaffold0026:16837417|16842542;scaffold0026:16990076|16994169",10,"",0,"",0,"scaffold0004:88529005|88538971;scaffold0004:88640375|88660723;scaffold0004:88663743|88665134",3,"",0
"RMDN3","15:40744046|40745259",1,"scaffold0015:8479790|8481428;scaffold0015:8479790|8487587;scaffold0015:8481142|8481428",3,"",0,"",0,"scaffold0004:39566228|39567273",1,"",0
"MAP2K1","15:66435026|66436892",1,"",0,"",0,"",0,"scaffold0004:61501086|61502892;scaffold0004:61501086|61507757",2,"NW_017738959.1:959596|969253;NW_017738959.1:986763|989745;NW_017738959.1:986763|994090",3
"MARK4","19:45263112|45263367",1,"scaffold0017:5408276|5410461;scaffold0017:5409823|5414164",2,"",0,"",0,"",0,"NW_017739327.1:584908|588778",1
"SAFB2","19:5604582|5604936",1,"scaffold0005:51280393|51286358;scaffold0005:51289485|51291109;scaffold0005:51290978|51295360",3,"",0,"",0,"scaffold0005:80474870|80475223;scaffold0005:80474870|80485580",2,"",0
"HNRNPM","19:8455404|8463686",1,"scaffold0005:65074868|65086728;scaffold0005:65074868|65094172;scaffold0005:65080607|65094172;scaffold0005:65085579|65094172",4,"",0,"",0,"",0,"NW_017739452.1:504151|517326",1
"ZC3H6","2:112299848|112300029",1,"scaffold0021:33260789|33267063",1,"",0,"",0,"",0,"NW_017739536.1:51853|60729;NW_017739536.1:60548|60729",2
"RHBDD1","2:226906792|226914351",1,"scaffold0004:7192048|7202013",1,"",0,"",0,"scaffold0012:27735178|27737047;scaffold0012:27735178|27773264;scaffold0012:27762829|27773264",3,"",0
"ARFGEF2","20:48953555|48963898",1,"scaffold0012:44191779|44193568",1,"",0,"",0,"scaffold0008:64560446|64561815;scaffold0008:64588836|64590653",2,"",0
"OSBPL2","20:62286582|62289330",1,"scaffold0042:1343264|1348375",1,"",0,"",0,"",0,"NW_017739293.1:1229684|1234132;NW_017739293.1:1231667|1234132",2
"NRIP1","21:15014343|15043574",1,"scaffold0003:12289799|12318485",1,"",0,"",0,"",0,"NW_017739193.1:342838|362607",1
"DOP1B","21:36247516|36248568",1,"scaffold0003:94437718|94439479",1,"",0,"",0,"scaffold0002:3370331|3371816;scaffold0002:3370331|3373819",2,"",0
"PDIA5","3:123124065|123130616",1,"scaffold0003:50341592|50344769",1,"",0,"",0,"",0,"NW_017739064.1:1719530|1744171",1
"SMARCA5","4:143543508|143543972",1,"scaffold0005:22125431|22125892",1,"",0,"",0,"",0,"NW_017738992.1:3084924|3085396",1
"TBC1D1","4:38089931|38103157",1,"scaffold0018:15748993|15753874",1,"",0,"",0,"scaffold0006:23334440|23341191;scaffold0006:23334440|23355785;scaffold0006:23341080|23351612;scaffold0006:23341080|23355785;scaffold0006:23401188|23403741;scaffold0006:23401188|23417524",6,"",0
"PDZD2","5:31995575|32010482",1,"scaffold0002:95163997|95164824",1,"",0,"",0,"",0,"NW_017739046.1:6132824|6133872;NW_017739046.1:6163881|6172599;NW_017739046.1:6163881|6182887;NW_017739046.1:6182385|6182887",4
"FCHO2","5:73074741|73077493",1,"",0,"6:69883942|69903301;6:69900535|69903301",2,"",0,"scaffold0003:38201955|38211631",1,"",0
"ATXN1","6:16657775|16753347",1,"",0,"4:153641122|153643151",1,"",0,"",0,"NW_017739111.1:984191|1031748",1
"FARS2","6:5404541|5431172",1,"scaffold0010:53049054|53096524",1,"",0,"",0,"",0,"NW_017739428.1:1074917|1120154",1
"AUTS2","7:69899285|69899498",1,"scaffold0002:19399740|19399953",1,"",0,"",0,"scaffold0003:84836920|84837133",1,"",0
"TRIM35","8:27294079|27294310",1,"scaffold0005:47057463|47060250",1,"",0,"",0,"scaffold0005:76369565|76372353;scaffold0005:76372122|76372353",2,"",0
"RAB11FIP1","8:37877108|37877551",1,"scaffold0029:22578672|22584432",1,"",0,"",0,"",0,"NW_017739180.1:940403|945957",1
"LPAR1","9:110972072|110973558",1,"scaffold0007:53707943|53708691",1,"",0,"",0,"",0,"NW_017739211.1:2716960|2717708;NW_017739211.1:2716960|2739000",2
"KATNAL1","",0,"scaffold0001:100957916|100972382;scaffold0001:100957916|100976911;scaffold0001:100957916|100977439;scaffold0001:101022399|101024700;scaffold0001:101024527|101024700",5,"",0,"",0,"scaffold0001:74239457|74241411;scaffold0001:74239457|74250096",2,"NW_017739040.1:10059282|10069000",1
"ZMYM2","",0,"scaffold0001:103620482|103623075",1,"",0,"",0,"scaffold0001:71779625|71780485;scaffold0001:71796849|71800575",2,"NW_017739212.1:1372459|1379141;NW_017739212.1:1372459|1380783;NW_017739212.1:1372459|1393986;NW_017739212.1:1372459|1400932;NW_017739212.1:1424858|1429658",5
"ZMYM5","",0,"scaffold0001:103794219|103795726;scaffold0001:103794219|103797295",2,"",0,"",0,"scaffold0001:71600528|71602339",1,"NW_017739212.1:1300327|1313300",1
"PSPC1","",0,"scaffold0001:103825074|103825376;scaffold0001:103825074|103841091;scaffold0001:103825074|103854606;scaffold0001:103825074|103868986;scaffold0001:103840995|103845464;scaffold0001:103840995|103854606;scaffold0001:103840995|103868986;scaffold0001:103845267|103854606;scaffold0001:103845267|103868986",9,"",0,"",0,"scaffold0001:71530409|71549117;scaffold0001:71537237|71541501;scaffold0001:71537237|71549117;scaffold0001:71541405|71549117",4,"NW_017739212.1:1256340|1260327",1
"PARP4","",0,"scaffold0001:104106010|104109085",1,"",0,"",0,"scaffold0001:71303269|71307588",1,"NW_017739212.1:1091125|1094243;NW_017739212.1:1094554|1099047",2
"RIC8B","",0,"scaffold0001:12036668|12037747;scaffold0001:12063936|12064545;scaffold0001:12063936|12091450",3,"",0,"",0,"scaffold0001:162978690|162979774",1,"NW_017738978.1:3085351|3147739;NW_017738978.1:3095165|3101233",2
"PPP6R2","",0,"scaffold0001:267622|272027;scaffold0001:274858|277076",2,"",0,"",0,"scaffold0032:8497011|8502116",1,"NW_017739200.1:3390913|3409367;NW_017739200.1:3404213|3409367",2
"ATXN10","",0,"scaffold0001:2695980|2706533;scaffold0001:2695980|2745133;scaffold0001:2698075|2706533;scaffold0001:2706367|2726468;scaffold0001:2706367|2729068;scaffold0001:2706367|2745133;scaffold0001:2714078|2745133;scaffold0001:2726309|2729068;scaffold0001:2726309|2745133;scaffold0001:2743396|2745133",10,"",0,"",0,"scaffold0032:6664857|6682260;scaffold0032:6680524|6703237;scaffold0032:6693926|6703237;scaffold0032:6700212|6703237",4,"NW_017739067.1:1020554|1022306;NW_017739067.1:1020554|1033429;NW_017739067.1:1045531|1062700;NW_017739067.1:1053142|1062700",4
"AEBP2","",0,"scaffold0001:30647175|30656800;scaffold0001:30656692|30675561",2,"",0,"",0,"scaffold0001:144239970|144271731;scaffold0001:144261396|144271731",2,"NW_017739541.1:602631|610480",1
"ETNK1","",0,"scaffold0001:32690007|32690267;scaffold0001:32701385|32719487",2,"",0,"",0,"scaffold0001:142311025|142311285",1,"NW_017738931.1:9382427|9396957",1
"TM7SF3","",0,"scaffold0001:36281567|36296394",1,"11:28302494|28303353",1,"",0,"scaffold0001:138721564|138727145;scaffold0001:138725831|138727145",2,"",0
"FAR2","",0,"scaffold0001:38040620|38042942;scaffold0001:38052376|38057877",2,"",0,"",0,"scaffold0001:136975285|136978985",1,"NW_017738931.1:4250810|4269447",1
