"gene_name","hsa","hsa_n_circs","mfu","mfu_n_circs","mma","mma_n_circs","mmu","mmu_n_circs","mpi","mpi_n_circs","rsi","rsi_n_circs"
"KDM1A","1:23030468|23050520",1,"",0,"1:201727466|201756911",1,"4:136295883|136304515",1,"scaffold0010:66211023|66221206",1,"",0
"RNF10","12:120557281|120557682",1,"scaffold0037:8100118|8105279;scaffold0037:8100118|8106721;scaffold0037:8105142|8106721;scaffold0037:8106560|8108656;scaffold0037:8106560|8111134;scaffold0037:8107648|8111134;scaffold0037:8110019|8111134",7,"11:120355572|120355973",1,"",0,"scaffold0023:3627506|3627952",1,"",0
"RAB3IP","12:69800208|69801721",1,"",0,"11:69294399|69295669",1,"10:116773301|116775386",1,"scaffold0001:107430334|107431589",1,"",0
"SETD3","14:99458278|99465813",1,"scaffold0026:4145385|4147340;scaffold0026:4145385|4152504;scaffold0026:4147247|4152504;scaffold0026:4151877|4152504",4,"7:161660406|161667936",1,"",0,"",0,"NW_017739253.1:1590303|1596140",1
"GSE1","16:85633913|85634132",1,"scaffold0017:27979828|27980047",1,"20:72664966|72665185",1,"",0,"scaffold0022:7463353|7463572",1,"",0
"AATF","17:36952885|36953907",1,"scaffold0019:13776833|13780381",1,"",0,"",0,"scaffold0021:22927651|22931316",1,"NW_017739011.1:1921939|1953571",1
"ZNF236","18:76849525|76851939",1,"scaffold0025:25022062|25034829",1,"18:3185021|3219636;18:3217114|3219636",2,"",0,"",0,"NW_017738946.1:4138443|4139944;NW_017738946.1:4138443|4160407;NW_017738946.1:4138443|4170503",3
"RALBP1","18:9524593|9525851",1,"scaffold0012:39157643|39160955",1,"18:70458846|70459145",1,"",0,"scaffold0008:59884233|59888160",1,"",0
"MARK4","19:45263112|45263367",1,"scaffold0017:5408276|5410461;scaffold0017:5409823|5414164",2,"",0,"7:19170862|19171443",1,"",0,"NW_017739327.1:584908|588778",1
"UGP2","2:63856305|63857936",1,"scaffold0021:14467231|14468273",1,"",0,"",0,"scaffold0016:36342175|36343205",1,"NW_017738948.1:5002292|5003375",1
"ARFGEF2","20:48953555|48963898",1,"scaffold0012:44191779|44193568",1,"",0,"2:166676390|166678377;2:166727698|166735538",2,"scaffold0008:64560446|64561815;scaffold0008:64588836|64590653",2,"",0
"NRIP1","21:15014343|15043574",1,"scaffold0003:12289799|12318485",1,"",0,"16:76127633|76149434;16:76127633|76149437",2,"",0,"NW_017739193.1:342838|362607",1
"PCNT","21:46349011|46349820",1,"scaffold0003:93370457|93375984;scaffold0003:93410186|93417706;scaffold0003:93420631|93421098;scaffold0003:93437959|93443135",4,"",0,"",0,"scaffold0002:9783813|9784414;scaffold0002:9821589|9822770",2,"NW_017739645.1:175760|177747",1
"STAG1","3:136604308|136604473",1,"scaffold0024:27454095|27455040;scaffold0024:27500372|27508122;scaffold0024:27503200|27508122;scaffold0024:27518542|27534327;scaffold0024:27526328|27529367;scaffold0024:27625646|27649381",6,"",0,"",0,"scaffold0015:28375476|28396408;scaffold0015:28510123|28519375;scaffold0015:28510123|28543592;scaffold0015:28519210|28543592;scaffold0015:28533720|28543592",5,"NW_017738937.1:5554257|5571747;NW_017738937.1:5561150|5571747;NW_017738937.1:5742879|5750477",3
"MAPK9","5:180238331|180241155",1,"scaffold0035:12562865|12571654;scaffold0035:12562865|12582396",2,"6:177654663|177657501;6:177678269|177697895",2,"",0,"",0,"NW_017739641.1:792278|807249",1
"PDZD2","5:31995575|32010482",1,"scaffold0002:95163997|95164824",1,"",0,"15:12387622|12390135;15:12457883|12458385",2,"",0,"NW_017739046.1:6132824|6133872;NW_017739046.1:6163881|6172599;NW_017739046.1:6163881|6182887;NW_017739046.1:6182385|6182887",4
"ATXN1","6:16657775|16753347",1,"",0,"4:153641122|153643151",1,"13:45948984|46005932",1,"",0,"NW_017739111.1:984191|1031748",1
"FARS2","6:5404541|5431172",1,"scaffold0010:53049054|53096524",1,"",0,"13:36416104|36430477",1,"",0,"NW_017739428.1:1074917|1120154",1
"AUTS2","7:69899285|69899498",1,"scaffold0002:19399740|19399953",1,"",0,"5:132287762|132287975",1,"scaffold0003:84836920|84837133",1,"",0
"KATNAL1","",0,"scaffold0001:100957916|100972382;scaffold0001:100957916|100976911;scaffold0001:100957916|100977439;scaffold0001:101022399|101024700;scaffold0001:101024527|101024700",5,"",0,"5:148855405|148858222",1,"scaffold0001:74239457|74241411;scaffold0001:74239457|74250096",2,"NW_017739040.1:10059282|10069000",1
