"gene_name","hsa","hsa_n_circs","mfu","mfu_n_circs","mma","mma_n_circs","mmu","mmu_n_circs","mpi","mpi_n_circs","rsi","rsi_n_circs"
"MAN1A2","1:117402185|117414831",1,"",0,"1:106849970|106868467",1,"3:100485791|100489473",1,"scaffold0019:33279362|33280823",1,"NW_017738990.1:1508126|1531698;NW_017738990.1:1513940|1531698;NW_017738990.1:1524827|1531698",3
"USP48","1:21701497|21703618",1,"scaffold0027:14007688|14012467;scaffold0027:14007688|14013739;scaffold0027:14013541|14018308;scaffold0027:14021029|14024865;scaffold0027:14028240|14029432",5,"",0,"4:137331833|137333219;4:137371653|137377729",2,"scaffold0010:67171268|67171815;scaffold0010:67184433|67186336;scaffold0010:67191597|67197537",3,"NW_017738944.1:2320802|2324117",1
"SCMH1","1:41070594|41075451",1,"scaffold0064:844682|868183",1,"1:183495411|183500226",1,"",0,"scaffold0010:49204092|49232288;scaffold0010:49232044|49239504;scaffold0010:49254754|49264935;scaffold0010:49254754|49267342;scaffold0010:49254754|49274804",5,"NW_017739044.1:878927|882702;NW_017739044.1:907181|911990;NW_017739044.1:907181|929729;NW_017739044.1:907181|939944",4
"DLG5","10:77853353|77854370",1,"scaffold0011:13693802|13707263;scaffold0011:13704265|13707263;scaffold0011:13729279|13732600",3,"",0,"14:24240385|24243022",1,"scaffold0014:47835550|47838453",1,"NW_017739147.1:481520|484563",1
"LRP6","12:12244261|12244655",1,"scaffold0001:25147304|25149015;scaffold0001:25169981|25170208;scaffold0001:25194925|25201368;scaffold0001:25213284|25213482;scaffold0001:25242568|25242962;scaffold0050:3525647|3533671",6,"",0,"6:134483158|134490382;6:134518614|134519008",2,"scaffold0001:149556616|149557010;scaffold0001:149664633|149669297",2,"NW_017739137.1:1225535|1255860;NW_017739137.1:1255466|1255860",2
"PCCA","13:100330560|100340259",1,"scaffold0006:15143899|15209197;scaffold0006:15176352|15209197;scaffold0006:15220847|15228167;scaffold0006:15247182|15260916;scaffold0006:15247182|15271995",5,"",0,"14:122887663|122906083",1,"scaffold0020:39419153|39436781;scaffold0020:39436702|39483158",2,"NW_017739315.1:455967|483722;NW_017739315.1:483643|501362;NW_017739315.1:490212|501362;NW_017739315.1:542914|550916",4
"PPP1R13B","14:103778744|103797518",1,"scaffold0026:1253952|1256726",1,"",0,"12:111809978|111824720;12:111824643|111838867",2,"scaffold0004:104562964|104567700;scaffold0004:104562964|104574544",2,"NW_017739170.1:2574497|2582992",1
"CHSY1","15:101235081|101235577",1,"scaffold0053:2982195|2982691",1,"",0,"7:65774989|65775485",1,"scaffold0031:1468517|1469013",1,"NW_017738967.1:616270|616766",1
"CREBBP","16:3850296|3851009",1,"scaffold0002:4735331|4740336;scaffold0002:4756813|4758925;scaffold0002:4774800|4776465;scaffold0002:4774800|4792447;scaffold0002:4792270|4828248;scaffold0002:4827538|4828248",6,"",0,"16:3912037|3912650;16:3955229|3956849;16:3955229|3972897;16:3997287|3997997",4,"scaffold0003:99375939|99376649;scaffold0003:99465827|99468940",2,"NW_017739574.1:70168|99022;NW_017739574.1:98312|99022",2
"OSBPL1A","18:24366891|24377535",1,"scaffold0012:30131822|30140322",1,"",0,"18:12952561|12974403",1,"scaffold0008:91139098|91150873",1,"NW_017739089.1:6159010|6183788",1
