"","chrom","start","end","name","n_reads","strand","n_uniq","uniq_bridges","best_qual_left","best_qual_right","tissues","tiss_counts","edits","anchor_overlap","breakpoints","signal","strandmatch","category"
"1","NW_017738929.1",3792693,3804906,"rsi_circ_000001",2,"-",2,1,5,40,"my_test_rsi1",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"2","NW_017739359.1",15570,16133,"rsi_circ_000002",4,"+",1,4,40,40,"my_test_rsi1",4,2,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,OK_EXT,UNAMBIGUOUS_BP"
"3","NW_017739116.1",4491310,4494123,"rsi_circ_000003",56,"-",29,54,40,40,"my_test_rsi1",56,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"4","NW_017739137.1",1443645,1445353,"rsi_circ_000004",6,"-",4,6,40,40,"my_test_rsi1",6,1,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,GOOD_EXT,UNAMBIGUOUS_BP"
"5","NW_017739050.1",1512954,1540479,"rsi_circ_000005",7,"-",3,6,40,40,"my_test_rsi1",7,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"6","NW_017738925.1",10846419,10857406,"rsi_circ_000009",2,"+",1,2,40,40,"my_test_rsi1",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"7","NW_017739101.1",949886,950665,"rsi_circ_000010",10,"-",8,10,40,40,"my_test_rsi1",10,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"8","NW_017739099.1",2464258,2465408,"rsi_circ_000011",4,"+",4,4,40,40,"my_test_rsi1",4,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"9","NW_017738925.1",10820902,10835414,"rsi_circ_000013",2,"+",1,2,5,5,"my_test_rsi1",2,2,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,OK_EXT,UNAMBIGUOUS_BP"
"10","NW_017739132.1",2229878,2235761,"rsi_circ_000014",3,"+",1,3,40,40,"my_test_rsi1",3,1,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,GOOD_EXT,UNAMBIGUOUS_BP"
"11","NW_017739054.1",4681708,4688859,"rsi_circ_000015",9,"+",1,9,40,40,"my_test_rsi1",9,1,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,GOOD_EXT,UNAMBIGUOUS_BP"
"12","NW_017739189.1",187223,190556,"rsi_circ_000016",2,"-",1,2,5,40,"my_test_rsi1",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"13","NW_017739146.1",2845375,2859848,"rsi_circ_000017",22,"-",10,22,40,40,"my_test_rsi1",22,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"14","NW_017738968.1",10991343,10997352,"rsi_circ_000018",2,"-",1,2,5,5,"my_test_rsi1",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
