circ_id
scaffold0009:22152575|22153103
 scaffold0007:23745748|23750095
 scaffold0008:78465786|78466437
 scaffold0012:35400163|35400390
 scaffold0013:65634724|65642177
 scaffold0022:7463353|7463572
 scaffold0027:13964683|13970136
 scaffold0048:438715|440295
 scaffold0004:48853608|48853940
 scaffold0003:34918482|34944456
 scaffold0007:91656590|91656785
 scaffold0018:38000827|38022993
 scaffold0016:15425005|15425276
 scaffold0028:12896622|12908373
 scaffold0001:127975613|127977748
 scaffold0004:2117777|2139336
 scaffold0016:22143168|22144730
 scaffold0019:42489724|42490357
