"","chrom","start","end","name","score","strand","thickStart","thickEnd","itemRgb","exonCount","exonSize","exonOffsets","readNumber","circType","geneName","isoformName","index","flankIntron","FPBcirc","FPBlinear","CIRCscore"
"1","scaffold0079",119175,130257,"circular_RNA/4",0,"-",119175,119175,"0,0,0",3,"110,99,163","0,7661,10919",4,"circRNA","ENSMFUG00079000423243","ENSMFUG00079000423243.t2","5,4,3","scaffold0079:117857-119175|scaffold0079:130257-134450",0.23583357933,0.203078915534,1.15372081144
"2","scaffold0079",130094,134579,"circular_RNA/14",1,"-",130094,130094,"0,0,0",2,"163,129","0,4356",14,"circRNA","ENSMFUG00079000423243","ENSMFUG00079000423243.t2","3,2","scaffold0079:126935-130094|scaffold0079:134579-134902",0.825417527655,0.203078915534,3.92069541729
"3","scaffold0079",203937,208075,"circular_RNA/1",0,"-",203937,203937,"0,0,0",2,"200,268","0,3870",1,"circRNA","ENSMFUG00079000622243","ENSMFUG00079000622243.t1","11,10","scaffold0079:197770-203937|scaffold0079:208075-213003",0.0589583948325,0.407795564258,0.165052960663
"4","scaffold0079",213003,214485,"circular_RNA/19",0,"-",213003,213003,"0,0,0",2,"107,201","0,1281",19,"circRNA","ENSMFUG00079000622243","ENSMFUG00079000622243.t1","9,8","scaffold0079:208075-213003|scaffold0079:214485-215907",1.12020950182,0.407795564258,2.70517353105
"5","scaffold0079",215907,230221,"circular_RNA/8",1,"-",215907,215907,"0,0,0",5,"135,33,115,73,121","0,7592,7725,9772,14193",8,"circRNA","ENSMFUG00079000622243","ENSMFUG00079000622243.t1","7,6,5,4,3","scaffold0079:214485-215907|scaffold0079:230221-236845",0.47166715866,0.407795564258,1.15287762692
"6","scaffold0079",298086,339403,"circular_RNA/1",0,"+",298086,298086,"0,0,0",6,"168,177,15,101,141,101","0,31626,34560,36827,37542,41216",1,"circRNA","ENSMFUG00079000824241","ENSMFUG00079000824241.t3","2,3,4,5,6,7","scaffold0079:240743-298086|scaffold0079:339403-340335",0.0589583948325,0.432361562105,0.155886950268
"7","scaffold0079",329712,339403,"circular_RNA/2",1,"+",329712,329712,"0,0,0",5,"177,15,101,141,101","0,2934,5201,5916,9590",2,"circRNA","ENSMFUG00079000824241","ENSMFUG00079000824241.t3","3,4,5,6,7","scaffold0079:298254-329712|scaffold0079:339403-340335",0.117916789665,0.432361562105,0.289167958121
"8","scaffold0079",333379,335769,"circular_RNA/1",1,"+",333379,333379,"0,0,0",2,"101,141","0,2249",1,"circRNA","ENSMFUG00079000824241","ENSMFUG00079000824241.t5","4,5","scaffold0079:329889-333379|scaffold0079:335769-339302",0.0589583948325,0.432361562105,0.155886950268
"9","scaffold0079",333379,344312,"circular_RNA/5",0,"+",333379,333379,"0,0,0",5,"101,141,101,81,177","0,2249,5923,6956,10756",5,"circRNA","ENSMFUG00079000824241","ENSMFUG00079000824241.t5","4,5,6,7,8","scaffold0079:329889-333379|scaffold0079:344312-351255",0.294791974162,0.432361562105,0.689010981677
"10","scaffold0079",334913,335769,"circular_RNA/2",1,"+",334913,334913,"0,0,0",2,"101,141","0,715",2,"circRNA","ENSMFUG00079000824241","ENSMFUG00079000824241.t3","5,6","scaffold0079:332661-334913|scaffold0079:335769-339302",0.117916789665,0.432361562105,0.289167958121
