"","chrom","start","end","name","score","strand","thickStart","thickEnd","itemRgb","exonCount","exonSize","exonOffsets","readNumber","circType","geneName","isoformName","index","flankIntron","FPBcirc","FPBlinear","CIRCscore"
"1","5",3204112,3223645,"circular_RNA/6",0,"+",3204112,3204112,"0,0,0",5,"84,121,60,80,139","0,11127,15504,17056,19394",6,"circRNA","ENSMMUG00000008392","ENSMMUT00000082236","2,3,4,5,6","5:3078075-3204112|5:3223645-3232094",0.972175678772,14.7372994941,0.0666003751511
"2","5",36783355,36785500,"circular_RNA/40",0,"-",36783355,36783355,"0,0,0",2,"72,225","0,1920",40,"circRNA","ENSMMUG00000017630","ENSMMUT00000082291","3,2","5:36774057-36783355|5:36785500-36821179",6.48117119181,7.58297029442,0.854892214787
"3","5",38204357,38214727,"circular_RNA/3",1,"+",38204357,38204357,"0,0,0",4,"183,137,197,213","0,4710,5583,10157",3,"circRNA","ENSMMUG00000002755","ENSMMUT00000003912","2,3,4,5","5:38191441-38204357|5:38214727-38225159",0.486087839386,0.988378606751,0.496893499151
"4","5",40049563,40052578,"circular_RNA/56",0,"-",40049563,40049563,"0,0,0",2,"128,147","0,2868",56,"circRNA","ENSMMUG00000012563","ENSMMUT00000095901","9,8","5:39987563-40049563|5:40052578-40092702",9.07363966853,10.5781972666,0.857902383174
"5","5",47785893,47799491,"circular_RNA/26",0,"+",47785893,47785893,"0,0,0",5,"149,165,159,360,138","0,7548,9421,12398,13460",26,"circRNA","ENSMMUG00000056052","ENSMMUT00000095873","2,3,4,5,6","5:47758618-47785893|5:47799491-47831599",4.21276127468,15.068723021,0.280047671729
"6","5",50810096,50822270,"circular_RNA/3",0,"+",50810096,50810096,"0,0,0",7,"83,124,199,96,141,143,100","0,1022,3269,6669,7723,10451,12074",3,"circRNA","ENSMMUG00000008501","ENSMMUT00000011885","2,3,4,5,6,7,8","5:50790270-50810096|5:50822270-50830635",0.486087839386,50.8569401957,0.00975265737387
"7","5",50839989,50872878,"circular_RNA/34",0,"+",50839989,50839989,"0,0,0",10,"76,179,127,146,174,171,124,297,59,264","0,642,3085,4349,6779,9431,13846,15851,31218,32625",34,"circRNA","ENSMMUG00000008501","ENSMMUT00000011885","15,16,17,18,19,20,21,22,23,24","5:50836156-50839989|5:50872878-50875549",5.50899551304,50.8569401957,0.108498673044
"8","5",80214797,80228035,"circular_RNA/34",0,"-",80214797,80214797,"0,0,0",3,"157,94,108","0,2192,13130",34,"circRNA","ENSMMUG00000017395","ENSMMUT00000024468","13,12,11","5:80202475-80214797|5:80228035-80236554",5.50899551304,9.74490382769,0.565766265924
"9","5",92661934,92668316,"circular_RNA/19",0,"+",92661934,92661934,"0,0,0",8,"136,138,96,118,122,189,119,183","0,669,2072,2266,2583,3969,4851,6199",19,"circRNA","ENSMMUG00000022242","ENSMMUT00000031286","15,16,17,18,19,20,21,22","5:92660543-92661934|5:92668316-92670153",3.07855631611,2.52158066681,1.22001102181
"10","5",92959056,92959229,"circular_RNA/6",0,"+",92959056,92959056,"0,0,0",1,"173","0",6,"circRNA","ENSMMUG00000022246","ENSMMUT00000082689","6","5:92949359-92959056|5:92959229-92959903",0.972175678772,39.1030661906,0.0251111910783
"11","5",101042496,101071947,"circular_RNA/16",0,"-",101042496,101042496,"0,0,0",6,"165,219,168,87,118,152","0,7089,13809,18042,20066,29299",16,"circRNA","ENSMMUG00000003739","ENSMMUT00000054639","13,12,11,10,9,8","5:101034074-101042496|5:101071947-101088388",2.59246847672,2.65998067664,0.974714348868
"12","5",103722506,103725955,"circular_RNA/8",1,"+",103722506,103722506,"0,0,0",1,"3449","0",8,"circRNA","ENSMMUG00000017831","ENSMMUT00000025055","3","5:103680313-103722506|5:103725955-103729900",1.29623423836,2.02536599744,0.641768723661
"13","5",104139605,104157545,"circular_RNA/5",1,"+",104139605,104139605,"0,0,0",8,"200,134,105,120,312,144,199,260","0,3356,8819,10364,13831,16382,17348,17680",5,"circRNA","ENSMMUG00000010941","ENSMMUT00000015310","6,7,8,9,10,11,12,13","5:104130560-104139605|5:104157545-104167551",0.810146398976,0.697972282195,1.15844422106
"14","5",136929111,136929381,"circular_RNA/34",1,"+",136929111,136929111,"0,0,0",1,"270","0",34,"circRNA","ENSMMUG00000004983","ENSMMUT00000007024","2","5:136903670-136929111|5:136929381-136931148",5.50899551304,4.61783447416,1.19256545234
"15","5",142744347,142754768,"circular_RNA/7",0,"+",142744347,142744347,"0,0,0",6,"97,90,122,222,60,59","0,1297,6314,8967,10203,10362",7,"circRNA","ENSMMUG00000004433","ENSMMUT00000006286","8,9,10,11,12,13","5:142743732-142744347|5:142754768-142756410",1.13420495857,15.9251634999,0.0718037790185
"16","5",145244058,145244848,"circular_RNA/26",1,"+",145244058,145244058,"0,0,0",2,"172,390","0,400",26,"circRNA","ENSMMUG00000004977","ENSMMUT00000063598","10,11","5:145243298-145244058|None",4.21276127468,2.59246847672,1.62259843393
"17","5",153311662,153329317,"circular_RNA/1",0,"+",153311662,153311662,"0,0,0",5,"367,62,59,710,486","0,7193,11859,14122,17169",1,"circRNA","ENSMMUG00000023244","ENSMMUT00000032691","3,4,5,6,7","5:153281284-153311662|5:153329317-153335193",0.162029279795,11.851284465,0.0145034275422
"18","5",166822391,166848312,"circular_RNA/39",1,"-",166822391,166822391,"0,0,0",5,"96,78,84,84,103","0,658,1184,1703,25818",39,"circRNA","ENSMMUG00000012244","ENSMMUT00000059028","22,21,20,19,18","5:166800982-166822391|5:166848312-166863657",6.31914191201,1.30740867145,4.80423580713
"19","5",183982746,183986029,"circular_RNA/63",0,"-",183982746,183982746,"0,0,0",1,"3283","0",63,"circRNA","ENSMMUG00000018051","ENSMMUT00000041413","1","5:183937850-183982746|None",10.2078446271,4.68148883408,2.17795352147
"20","20",4319128,4320043,"circular_RNA/26",0,"-",4319128,4319128,"0,0,0",3,"171,99,166","0,537,749",26,"circRNA","ENSMMUG00000044729","ENSMMUT00000055358","4,3,2","20:4317748-4319128|20:4320043-4330380",4.21276127468,0.121521959846,32.1068913482
"21","20",8928753,8934714,"circular_RNA/1",0,"-",8928753,8928753,"0,0,0",4,"145,157,110,83","0,1237,3441,5878",1,"circRNA","ENSMMUG00000047388","ENSMMUT00000039572","12,11,10,9","20:8928167-8928753|20:8934714-8939604",0.162029279795,12.7250852239,0.0135082943514
"22","20",15578558,15588811,"circular_RNA/1",0,"+",15578558,15578558,"0,0,0",4,"177,126,138,126","0,1949,8115,10127",1,"circRNA","ENSMMUG00000005914","ENSMMUT00000008275","2,3,4,5","20:15523057-15578558|20:15588811-15606297",0.162029279795,5.42257989715,0.0316662217679
"23","20",22376459,22379853,"circular_RNA/50",0,"+",22376459,22376459,"0,0,0",2,"112,129","0,3265",50,"circRNA","ENSMMUG00000014271","ENSMMUT00000106449","4,5","20:22332250-22376459|20:22379853-22438301",8.10146398976,4.40719641043,1.83633763049
"24","20",26500196,26504052,"circular_RNA/9",0,"-",26500196,26500196,"0,0,0",2,"127,454","0,3402",9,"circRNA","ENSMMUG00000018623","ENSMMUT00000026182","8,7","20:26493131-26500196|20:26504052-26514258",1.45826351816,17.6243666614,0.083261482896
"25","20",35334776,35358981,"circular_RNA/38",0,"+",35334776,35334776,"0,0,0",4,"142,151,127,134","0,16947,20580,24071",38,"circRNA","ENSMMUG00000007397","ENSMMUT00000039358","8,9,10,11","20:35327756-35334776|20:35358981-35393487",6.15711263222,15.1571026281,0.406611122997
"26","20",35351723,35358981,"circular_RNA/39",0,"+",35351723,35351723,"0,0,0",3,"151,127,134","0,3633,7124",39,"circRNA","ENSMMUG00000007397","ENSMMUT00000039358","9,10,11","20:35334918-35351723|20:35358981-35393487",6.31914191201,15.1571026281,0.417294065136
"27","20",40998866,41060436,"circular_RNA/31",0,"+",40998866,40998866,"0,0,0",4,"80,144,120,125","0,6036,15803,61445",31,"circRNA","ENSMMUG00000020583","ENSMMUT00000098509","5,6,7,8","20:40966163-40998866|20:41060436-41064048",5.02290767365,26.896860446,0.187049235408
